PROLIFIC_PID,Validity,Condition,RT,ER
5c4d1a6c9ce35100019dbc88,invalid,S2-R,451.28888888879607,0.03125
5c4d1a6c9ce35100019dbc88,valid,S1-R Coloured,455.0812500007595,0
5c4d1a6c9ce35100019dbc88,valid,S2-R,461.1071428573967,0.0625
5cfc7489e289a80016b6e29f,invalid,S1-R Coloured,423.5785714286148,0
5cfc7489e289a80016b6e29f,invalid,S2-R,437.81666666664023,0.0625
5cfc7489e289a80016b6e29f,valid,S1-R Coloured,433.52142857146094,0
5cfc7489e289a80016b6e29f,valid,S2-R,419.2800000000352,0.09375
5d35989e71b4880017d5cc81,invalid,S1-R Coloured,430.6875000074655,0.4375
5d35989e71b4880017d5cc81,invalid,S2-R,428.145833330845,0.125
5d35989e71b4880017d5cc81,valid,S1-R Coloured,423.5999999940532,0.375
5d35989e71b4880017d5cc81,valid,S2-R,451.98333333829623,0.0625
5da6139c002c29001335b5a2,invalid,S1-R Coloured,497.4866666714509,0
5da6139c002c29001335b5a2,invalid,S2-R,490.96896552628255,0.03125
5da6139c002c29001335b5a2,valid,S1-R Coloured,482.66363635928593,0.0625
5da6139c002c29001335b5a2,valid,S2-R,482.8555555652572,0.03125
5de7ccc24b7cf973d7b05bfb,invalid,S1-R Coloured,512.430769229739,0.0625
5de7ccc24b7cf973d7b05bfb,invalid,S2-R,521.4448275866768,0.0625
5de7ccc24b7cf973d7b05bfb,valid,S1-R Coloured,529.8909090899687,0
5de7ccc24b7cf973d7b05bfb,valid,S2-R,523.0120000007719,0.0625
5e7f514bb18cb4000a68310d,invalid,S1-R Coloured,516.2928571381907,0.125
5e7f514bb18cb4000a68310d,invalid,S2-R,522.4392857157746,0.03125
5e7f514bb18cb4000a68310d,valid,S1-R Coloured,526.9187500011157,0
5e7f514bb18cb4000a68310d,valid,S2-R,478.0699999998016,0
5e8b89d0afcb1606e761ef7f,invalid,S1-R Coloured,553.9571428682036,0
5e8b89d0afcb1606e761ef7f,invalid,S2-R,589.4655172496092,0.03125
5e8b89d0afcb1606e761ef7f,valid,S1-R Coloured,556.9000000102245,0.0625
5e8b89d0afcb1606e761ef7f,valid,S2-R,556.3222222284384,0
5e92178e8ee4fe54b65b7c39,invalid,S1-R Coloured,475.52666665714395,0.0625
5e92178e8ee4fe54b65b7c39,invalid,S2-R,519.7413793144608,0.03125
5e92178e8ee4fe54b65b7c39,valid,S1-R Coloured,475.10000000214734,0.125
5e92178e8ee4fe54b65b7c39,valid,S2-R,485.3827586194625,0.03125
5eebb8b7011d13119025dcf0,invalid,S1-R Coloured,460.63749999924397,0
5eebb8b7011d13119025dcf0,invalid,S2-R,452.8730769249067,0.0625
5eebb8b7011d13119025dcf0,valid,S1-R Coloured,492.16428571941964,0.0625
5eebb8b7011d13119025dcf0,valid,S2-R,436.21379310919673,0.0625
5ef1f7026343e20b931a0cb0,invalid,S1-R Coloured,478.9375000000007,0
5ef1f7026343e20b931a0cb0,invalid,S2-R,496.29999999999654,0.0625
5ef1f7026343e20b931a0cb0,valid,S1-R Coloured,486.21428571428686,0.0625
5ef1f7026343e20b931a0cb0,valid,S2-R,476.034482758619,0.03125
5f00fa2353b5c10c934298fa,invalid,S1-R Coloured,424.946153845877,0.1875
5f00fa2353b5c10c934298fa,invalid,S2-R,430.4033333341522,0
5f00fa2353b5c10c934298fa,valid,S1-R Coloured,414.7636363613856,0.1875
5f00fa2353b5c10c934298fa,valid,S2-R,415.6678571419466,0.09375
5f19e162d258ca0921678a36,invalid,S1-R Coloured,487.1249999999918,0.25
5f19e162d258ca0921678a36,invalid,S2-R,497.5000000000198,0.0625
5f19e162d258ca0921678a36,valid,S1-R Coloured,426.3333333333321,0.125
5f19e162d258ca0921678a36,valid,S2-R,460.399999999986,0.0625
5f25e860dd98342ce97e7403,invalid,S1-R Coloured,420.5124999992762,0
5f25e860dd98342ce97e7403,invalid,S2-R,461.7933333347196,0.03125
5f25e860dd98342ce97e7403,valid,S1-R Coloured,471.8769230728063,0.1875
5f25e860dd98342ce97e7403,valid,S2-R,447.0407407394111,0.09375
