PROLIFIC_PID,Validity,Condition,Freq,RT
5f6e36c7f042f033d0f97bc1,Valid,S1-R Coloured,10,345.01000000834665
5f6e36c7f042f033d0f97bc1,Valid,S2-R,22,264.4409091012056
5fa3dc74fefcb501f909c68a,invalid,S1-R Coloured,3,NA
5fa3dc74fefcb501f909c68a,invalid,S2-R,16,NA
5fa3dc74fefcb501f909c68a,Valid,S1-R Coloured,17,945.2764705875204
5fa3dc74fefcb501f909c68a,Valid,S2-R,24,726.9750000014999
5ff792bdc0091e494e352e9b,invalid,S1-R Coloured,4,NA
5ff792bdc0091e494e352e9b,invalid,S2-R,14,NA
5ff792bdc0091e494e352e9b,Valid,S1-R Coloured,16,1108.3812499921635
5ff792bdc0091e494e352e9b,Valid,S2-R,26,1245.8115384624543
600de3bf29e45455345fa8b5,invalid,S1-R Coloured,1,NA
600de3bf29e45455345fa8b5,invalid,S2-R,2,NA
600de3bf29e45455345fa8b5,Valid,S1-R Coloured,19,358.6157894734829
600de3bf29e45455345fa8b5,Valid,S2-R,38,430.54210526327995
6034e8e3628ecdf282096ccf,invalid,S1-R Coloured,10,NA
6034e8e3628ecdf282096ccf,invalid,S2-R,19,NA
6034e8e3628ecdf282096ccf,Valid,S1-R Coloured,10,553.9900000065586
6034e8e3628ecdf282096ccf,Valid,S2-R,21,328.9190476153592
60603496c9a3d83273a11297,invalid,S1-R Coloured,2,NA
60603496c9a3d83273a11297,invalid,S2-R,0,NA
60603496c9a3d83273a11297,Valid,S1-R Coloured,18,669.8777777800855
60603496c9a3d83273a11297,Valid,S2-R,40,492.7525000035672
6066d08253019ea549b1dd37,invalid,S1-R Coloured,5,NA
6066d08253019ea549b1dd37,invalid,S2-R,11,NA
6066d08253019ea549b1dd37,Valid,S1-R Coloured,15,481.4666666666578
6066d08253019ea549b1dd37,Valid,S2-R,29,536.8896551723624
6085a4cc5f5f9ba1a3bfd785,invalid,S1-R Coloured,11,NA
6085a4cc5f5f9ba1a3bfd785,invalid,S2-R,21,NA
6085a4cc5f5f9ba1a3bfd785,Valid,S1-R Coloured,9,460.4888888994765
6085a4cc5f5f9ba1a3bfd785,Valid,S2-R,19,462.67368420800676
6088e7b7d327c199db58cf61,invalid,S1-R Coloured,3,NA
6088e7b7d327c199db58cf61,invalid,S2-R,8,NA
6088e7b7d327c199db58cf61,Valid,S1-R Coloured,17,758.0294117226258
6088e7b7d327c199db58cf61,Valid,S2-R,32,629.2781249880796
60967660853e8fcaf410748b,invalid,S1-R Coloured,9,NA
60967660853e8fcaf410748b,invalid,S2-R,20,NA
60967660853e8fcaf410748b,Valid,S1-R Coloured,11,654.1090909080057
60967660853e8fcaf410748b,Valid,S2-R,20,895.769999999186
60a97537bf4b23dbaba42403,invalid,S1-R Coloured,10,NA
60a97537bf4b23dbaba42403,invalid,S2-R,22,NA
60a97537bf4b23dbaba42403,Valid,S1-R Coloured,10,500.9800000000723
60a97537bf4b23dbaba42403,Valid,S2-R,18,207.34444444419373
60abbbce67335394c314a00a,invalid,S1-R Coloured,4,NA
60abbbce67335394c314a00a,invalid,S2-R,16,NA
60abbbce67335394c314a00a,Valid,S1-R Coloured,16,692.0374999958909
60abbbce67335394c314a00a,Valid,S2-R,24,661.9791666666544
60b3950b9a1de417d37bb8d2,invalid,S1-R Coloured,8,NA
60b3950b9a1de417d37bb8d2,invalid,S2-R,21,NA
60b3950b9a1de417d37bb8d2,Valid,S1-R Coloured,12,144.64166666566788
60b3950b9a1de417d37bb8d2,Valid,S2-R,19,207.62631578823905
