ChkFree,Stim1,Stim2,Validity,CorrectAnswer,FreeChoiceResp,Response.keys,FreeChoiceAccuracy,FreeRT,Phase,Condition,ChoiceType,Response.corr,PROLIFIC_PID,Age,Sex,Handedness,Native Language,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,browser,xResolution,yResolution,SSPhase.thisRepN,SSPhase.thisTrialN,SSPhase.thisN,SSPhase.thisIndex,SSPhase.ran,Colour,Question,Part1Resp.keys,Part1Resp.rt,AttentionQuestion,AttentionAnswer,Phase2Start.keys,Phase2Start.rt,PrestimulusDuration,PreResp.keys,PreResp.corr,RT_main,RT_secondary,Continue.keys,Continue.rt,Part2Resp.keys,Part2Resp.rt,Phase3_1.thisRepN,Phase3_1.thisTrialN,Phase3_1.thisN,Phase3_1.thisIndex,Phase3_1.ran,PreResp.rt,Continue_2.keys,Phase3_2.thisRepN,Phase3_2.thisTrialN,Phase3_2.thisN,Phase3_2.thisIndex,Phase3_2.ran,Continue_2.rt,Option1,Option2,Option3,GuessResp.keys,GuessResp.rt,QuizAccuracy,SSGuess.thisRepN,SSGuess.thisTrialN,SSGuess.thisN,SSGuess.thisIndex,SSGuess.ran,awarenext.keys,awarenext.corr,awarenext.rt,AwarenessType,Answer,Performance,FreeGuessAcc,BonusPayment,Endresp.keys,Endresp.rt,debriefend.keys,debriefend.rt,Outlier,Farouts,RT_io
0,Max,NA,invalid,d,l,"[""l""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,434.7000000477123,NA,NA,NA,NA,NA,0,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
0,Tim,NA,invalid,l,d,"[""d""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,402.4000000357546,NA,NA,NA,NA,NA,0,5,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
0,Tim,NA,invalid,l,d,"[""d""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,148.69999998808223,NA,NA,NA,NA,NA,1,3,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
0,Max,NA,invalid,d,l,"[""l""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,718.5000000000059,NA,NA,NA,NA,NA,1,5,13,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
1,Max,NA,Valid,d,d,"[""d""]",1,449.89999997619634,3.1,S1-R Transfer,Free,1,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0,449.89999997619634,NA,NA,NA,NA,NA,2,1,17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,449.89999997619634
0,Tim,NA,invalid,l,d,"[""d""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,767.3999999761918,NA,NA,NA,NA,NA,2,4,20,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
1,Max,NA,Valid,d,d,"[""d""]",1,518.5000000000173,3.1,S1-R Transfer,Free,1,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.25,NA,0,518.5000000000173,NA,NA,NA,NA,NA,3,1,25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,518.5000000000173
0,Tim,NA,invalid,l,d,"[""d""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,202.6000000239492,NA,NA,NA,NA,NA,3,5,29,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
1,Tim,NA,Valid,l,l,"[""l""]",1,502.8999999761936,3.1,S1-R Transfer,Free,1,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,502.8999999761936,NA,NA,NA,NA,NA,4,6,38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,502.8999999761936
0,Max,NA,invalid,d,l,"[""l""]",0,NA,3.1,S1-R Transfer,Free,0,56a8bb427f2472000b9522f6,35,female,right,English,2022-06-01_15h31.37.330,Experiment5,2021.2.3,Win32,60.0348202,62973d493be2483a81f20382,6297781b26f7fe955ab6d52c,Chrome,1280,720,NA,NA,NA,NA,NA,white,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,334.400000035771,NA,NA,NA,NA,NA,4,7,39,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004.750000081998,1417.7750001401537,NA
