PROLIFIC_PID,Condition,Validity,PC
6165ab1d62dc48b90438ea1d,S2-R,Valid,0.775
6165ab1d62dc48b90438ea1d,S2-R,invalid,0.225
616fe12dc33a81b79f5d958a,S1-R Coloured,Valid,0.5
616fe12dc33a81b79f5d958a,S1-R Coloured,invalid,0.5
616fe12dc33a81b79f5d958a,S2-R,Valid,0.55
616fe12dc33a81b79f5d958a,S2-R,invalid,0.45
61f2ad60a09e72f23cbaf86d,S1-R Coloured,Valid,0.25
61f2ad60a09e72f23cbaf86d,S1-R Coloured,invalid,0.75
61f2ad60a09e72f23cbaf86d,S2-R,Valid,0.55
61f2ad60a09e72f23cbaf86d,S2-R,invalid,0.45
622b64053557c445641d767a,S1-R Coloured,Valid,1
622b64053557c445641d767a,S1-R Coloured,invalid,0
622b64053557c445641d767a,S2-R,Valid,0.825
622b64053557c445641d767a,S2-R,invalid,0.175
627e807715abf2361938fd68,S1-R Coloured,Valid,0.5
627e807715abf2361938fd68,S1-R Coloured,invalid,0.5
627e807715abf2361938fd68,S2-R,Valid,0.475
627e807715abf2361938fd68,S2-R,invalid,0.525
6286672d0165aad8f1386c27,S1-R Coloured,Valid,0.4
6286672d0165aad8f1386c27,S1-R Coloured,invalid,0.6
6286672d0165aad8f1386c27,S2-R,Valid,0.675
6286672d0165aad8f1386c27,S2-R,invalid,0.325
628bbdac4ba783931f487fd8,S1-R Coloured,Valid,0.5
628bbdac4ba783931f487fd8,S1-R Coloured,invalid,0.5
628bbdac4ba783931f487fd8,S2-R,Valid,0.45
628bbdac4ba783931f487fd8,S2-R,invalid,0.55
628fc75b2561940f60f57b37,S1-R Coloured,Valid,0.6
628fc75b2561940f60f57b37,S1-R Coloured,invalid,0.4
628fc75b2561940f60f57b37,S2-R,Valid,0.375
628fc75b2561940f60f57b37,S2-R,invalid,0.625
629082739390703f993b12bd,S1-R Coloured,Valid,0.7
629082739390703f993b12bd,S1-R Coloured,invalid,0.3
629082739390703f993b12bd,S2-R,Valid,0.45
629082739390703f993b12bd,S2-R,invalid,0.55
6294c3c360a62ab4c18a4ffd,S1-R Coloured,Valid,0.55
6294c3c360a62ab4c18a4ffd,S1-R Coloured,invalid,0.45
6294c3c360a62ab4c18a4ffd,S2-R,Valid,0.625
6294c3c360a62ab4c18a4ffd,S2-R,invalid,0.375
629552d66a0ad893867fa675,S1-R Coloured,Valid,0.5
629552d66a0ad893867fa675,S1-R Coloured,invalid,0.5
629552d66a0ad893867fa675,S2-R,Valid,0.75
629552d66a0ad893867fa675,S2-R,invalid,0.25
62964243018e89ba8d83384b,S1-R Coloured,Valid,0.5
62964243018e89ba8d83384b,S1-R Coloured,invalid,0.5
62964243018e89ba8d83384b,S2-R,Valid,0.525
62964243018e89ba8d83384b,S2-R,invalid,0.475
